graph,criterion,mod_best,mod_mean,mod_std,nmi_best,nmi_mean,k_found,time_mean,n_seeds
SBM_n200_p0.2_q0.15,min_size,0.127718314521233,0.1275414535987606,0.00010159451631021508,0.0633094603809781,0.052505158261154816,8.0,305.8586324691772,5
SBM_n200_p0.2_q0.15,modularity_gain,0.1386297533395199,0.13859309336418854,5.019873861642427e-05,0.0541370633735857,0.04731623568035474,4.0,346.3374837875366,5
SBM_n200_p0.2_q0.15,target_k,0.1121510103010324,0.1121510103010324,0.0,0.0532521437714881,0.053252143771488104,2.0,84.94164814949036,5
SBM_n200_p0.3_q0.05,min_size,0.1981697549127091,0.19741373786402902,0.0006394311844435762,0.500906129524914,0.5005444924004878,8.0,289.0698286056519,5
SBM_n200_p0.3_q0.05,modularity_gain,0.3521079402648746,0.3521079402648746,0.0,1.0,1.0,2.0,169.71976399421692,5
SBM_n200_p0.3_q0.05,target_k,0.3521079402648746,0.3521079402648746,0.0,1.0,1.0,2.0,69.2355493068695,5
SBM_n500_p0.2_q0.05,min_size,0.1211033335732108,0.12027775122825961,0.00048006644107735413,0.4003160914234855,0.40012746755117634,16.0,786.6408045291901,5
SBM_n500_p0.2_q0.05,modularity_gain,0.3007819044590978,0.3007819044590978,0.0,1.0,1.0,2.0,334.5964496612549,5
SBM_n500_p0.2_q0.05,target_k,0.3007819044590978,0.3007819044590978,0.0,1.0,1.0,2.0,157.2378984451294,5
dolphins,min_size,0.494106245797239,0.4922075867252086,0.0010613826877891677,0.4452761728528563,0.4447309412811921,5.0,83.356969165802,5
dolphins,modularity_gain,0.5189865907203037,0.5189470353229698,8.844855731569803e-05,0.5923332272515748,0.5791500396693825,5.0,161.92061419486998,5
dolphins,target_k,0.4027332779557769,0.4027332779557769,0.0,0.5813765863368555,0.5813765863368555,2.0,32.36099500656128,5
email_eu_core,min_size,0.3255893744029112,0.32341715139566235,0.0028687052666134015,0.6765560345323425,0.671159185008776,19.4,1248.2731538295745,5
email_eu_core,modularity_gain,0.4083069296209087,0.40830692962090864,0.0,0.559387982433882,0.559387982433882,8.0,905.4874102115631,5
email_eu_core,target_k,0.234407530253116,0.22999489374424611,0.004463315612062336,0.6860933771079646,0.6824362754546895,42.0,1841.5057818889618,5
football,min_size,0.5954974997937562,0.5954974997937562,0.0,0.8445827581704263,0.8445827581704263,8.0,180.00783619880676,5
football,modularity_gain,0.5995758032195311,0.5995758032195311,0.0,0.8810714003682801,0.88107140036828,10.0,355.9041437625885,5
football,target_k,0.5791563433918179,0.5791563433918179,0.0,0.8943144700866158,0.8943144700866158,12.0,246.91815829277039,5
karate,min_size,0.4079102715466352,0.4079102715466352,0.0,0.5642926817041092,0.5642926817041091,3.0,56.62924098968506,5
karate,modularity_gain,0.440181031090122,0.4401810310901221,0.0,0.4899672048193782,0.4899672048193781,4.0,118.19786071777344,5
karate,target_k,0.3998332115215232,0.3998332115215232,0.0,0.6772430411026018,0.6772430411026018,2.0,30.85968723297119,5
lfr_n200_mu0.1,min_size,0.4657014467583966,0.46366314604731595,0.004557778948562471,0.8082884753993308,0.8030789466667988,8.0,287.84351029396055,5
lfr_n200_mu0.1,modularity_gain,0.5524016673871887,0.5506127852894263,0.004000061974329153,0.941513129347066,0.9346325460314269,5.0,274.9364364147186,5
lfr_n200_mu0.1,target_k,0.5524016673871887,0.5506127852894263,0.004000061974329153,0.941513129347066,0.9346325460314269,5.0,159.65925850868226,5
lfr_n200_mu0.3,min_size,0.3349529476502508,0.3349529476502508,0.0,0.7163548174245837,0.7163548174245837,9.0,446.06710143089293,5
lfr_n200_mu0.3,modularity_gain,0.3798374246396251,0.3798374246396251,0.0,0.8023521835978257,0.8023521835978256,6.0,684.8405877113343,5
lfr_n200_mu0.3,target_k,0.3535312095929879,0.3535312095929879,0.0,0.7226947230279377,0.7226947230279377,6.0,375.87035150527953,5
lfr_n500_mu0.3,min_size,0.420695167824074,0.4150269097222222,0.004180689376412994,0.7943724514379741,0.7799262892870908,15.4,621.3039924621582,5
lfr_n500_mu0.3,modularity_gain,0.474596535011574,0.47128272087191353,0.005366649941028289,0.8628185825551236,0.8384028472640039,10.8,719.4549547672272,5
lfr_n500_mu0.3,target_k,0.4523045066550926,0.44141253134645064,0.007597521283457837,0.7887830931374976,0.7726448659860841,11.0,466.37611427307127,5
polblogs,min_size,0.2034084167817532,0.20122155459731644,0.00289141821182703,0.2748098617791647,0.27315794994805714,22.8,1429.2561257839202,5
polblogs,modularity_gain,0.4256825232827939,0.42568252328279393,0.0,0.7286769625628147,0.7286769625628147,2.0,464.2794882774353,5
polblogs,target_k,0.4256825232827939,0.42568252328279393,0.0,0.7286769625628147,0.7286769625628147,2.0,217.34138436317443,5
polbooks,min_size,0.5076588458512656,0.5065543677788575,0.0006174220123906113,0.448496293151311,0.44459779394485766,6.0,169.65737047195435,5
polbooks,modularity_gain,0.5076588458512656,0.507630051264648,1.6096663265269523e-05,0.4567948829847795,0.4512366658116324,5.2,217.7840304851532,5
polbooks,target_k,0.4784966140651272,0.47342876682040924,0.0028330127346936234,0.5275286216962379,0.5172944001761596,3.0,78.69708166122436,5
polbooks_binary,min_size,0.4577482913437616,0.4522398410020304,0.012317269414792999,0.5077931552155068,0.49818400739623125,6.2,143.32290387153625,5
polbooks_binary,modularity_gain,0.5007041951442707,0.49401827332780474,0.0037375439184667,0.7157196792343995,0.7003063914938104,3.2,130.18385519981385,5
polbooks_binary,target_k,0.4785953272898854,0.4785953272898854,0.0,0.8701093745414381,0.8609448299567303,2.0,33.813546085357665,5
