method,mod,nmi,k_found,time,graph
Louvain,0.4266224396094526,0.594228158548046,4,0.0009009838104248047,karate
Louvain,0.5188283691309679,0.4837715104078087,5,0.0013287067413330078,dolphins
Louvain,0.5041644027567275,0.6344367974809549,5,0.0025908946990966797,polbooks_binary
Louvain,0.5266195669499848,0.5038348667035136,5,0.002254962921142578,polbooks
Louvain,0.6045695626834571,0.8903166312052426,10,0.0025548934936523438,football
Louvain,0.5555480501185135,1.0,5,0.004984855651855469,lfr_n200_mu0.1
Louvain,0.39789674071803993,0.9236651984326095,6,0.006012916564941406,lfr_n200_mu0.3
Louvain,0.35210794026487463,1.0,2,0.015130043029785156,SBM_n200_p0.3_q0.05
Louvain,0.12240989832276568,0.041687979901149454,9,0.013209104537963867,SBM_n200_p0.2_q0.15
Louvain,0.4795798369984568,0.8868105403815191,11,0.01994609832763672,lfr_n500_mu0.3
Louvain,0.3007819044590978,1.0,2,0.15610098838806152,SBM_n500_p0.2_q0.05
Louvain,0.4266907303349429,0.6390900826287174,10,0.049495697021484375,polblogs
Louvain,0.41067192881859016,0.591523810194082,8,0.06136894226074219,email_eu_core
